entry_time,exit_time,type,entry_price,exit_price,pnl,balance
2022-01-03 01:00:00,2022-01-03 02:00:00,SHORT,1800.5900000000001,1793.44,0.7941841285356567,10000.794184128536
2022-01-03 02:00:00,2022-01-03 03:30:00,LONG,1793.44,1797.3600000000001,0.43718343743626314,10001.231367565972
2022-01-03 03:30:00,2022-01-03 07:00:00,SHORT,1797.3600000000001,1792.32,0.5608915975935194,10001.792259163565
2022-01-03 07:00:00,2022-01-03 08:00:00,LONG,1792.32,1796.45,0.4609378016241142,10002.25319696519
2022-01-03 08:00:00,2022-01-03 08:30:00,SHORT,1796.45,1795.68,0.08574393900930184,10002.3389409042
2022-01-03 08:30:00,2022-01-03 09:00:00,LONG,1795.68,1796.49,0.0902376207579508,10002.429178524957
2022-01-03 09:00:00,2022-01-03 11:30:00,SHORT,1796.49,1788.61,0.8774793283210901,10003.306657853278
2022-01-03 11:30:00,2022-01-03 13:30:00,LONG,1788.61,1795.92,0.817664797456228,10004.124322650734
2022-01-03 13:30:00,2022-01-03 14:00:00,SHORT,1795.92,1793.6699999999998,0.25067129633799307,10004.374993947073
2022-01-03 14:00:00,2022-01-03 14:30:00,LONG,1793.6699999999998,1800.63,0.7764020132786329,10005.15139596035
2022-01-03 14:30:00,2022-01-03 15:00:00,SHORT,1800.63,1794.54,0.6767783720297895,10005.82817433238
2022-01-03 15:00:00,2022-01-03 17:30:00,LONG,1794.54,1801.5900000000001,0.7861746032860244,10006.614348935667
2022-01-03 17:30:00,2022-01-03 19:30:00,SHORT,1801.5900000000001,1802.1599999999999,-0.06331929216847805,10006.551029643499
2022-01-03 19:30:00,2022-01-03 22:00:00,LONG,1802.1599999999999,1805.97,0.42310293673085037,10006.97413258023
2022-01-03 22:00:00,2022-01-03 23:30:00,SHORT,1805.97,1805.36,0.06760083745438976,10007.041733417684
2022-01-03 23:30:00,2022-01-04 03:30:00,LONG,1805.36,1825.64,2.248225355094969,10009.289958772779
2022-01-04 03:30:00,2022-01-04 11:30:00,SHORT,1825.64,1804.1699999999998,2.3542369296778567,10011.644195702456
2022-01-04 11:30:00,2022-01-04 16:30:00,LONG,1804.1699999999998,1821.1000000000001,1.8789486160754865,10013.523144318531
2022-01-04 16:30:00,2022-01-04 19:00:00,SHORT,1821.1000000000001,1806.34,1.6231903971241963,10015.146334715655
2022-01-04 19:00:00,2022-01-04 20:00:00,LONG,1806.34,1808.46,0.23508431668011973,10015.381419032336
2022-01-04 20:00:00,2022-01-04 20:30:00,SHORT,1808.46,1805.86,0.28797973623398293,10015.66939876857
2022-01-04 20:30:00,2022-01-04 22:00:00,LONG,1805.86,1832.64,2.970547290476829,10018.639946059047
2022-01-04 22:00:00,2022-01-05 00:00:00,SHORT,1832.64,1819.24,1.4650970760999666,10020.105043135147
2022-01-05 00:00:00,2022-01-05 05:30:00,LONG,1819.24,1831.42,1.3417127968314981,10021.446755931978
2022-01-05 05:30:00,2022-01-05 06:00:00,SHORT,1831.42,1831.71,-0.0317373356108365,10021.415018596368
2022-01-05 06:00:00,2022-01-05 06:30:00,LONG,1831.71,1836.64,0.5394475767635787,10021.954466173132
2022-01-05 06:30:00,2022-01-05 10:30:00,SHORT,1836.64,1809.73,2.9367845052347747,10024.891250678367
2022-01-05 10:30:00,2022-01-05 11:00:00,LONG,1809.73,1814.32,0.5085206173364301,10025.399771295704
2022-01-05 11:00:00,2022-01-05 12:00:00,SHORT,1814.32,1799.95,1.58808804084746,10026.987859336552
2022-01-05 12:00:00,2022-01-05 12:30:00,LONG,1799.95,1801.44,0.1660069658647357,10027.153866302417
2022-01-05 12:30:00,2022-01-05 13:30:00,SHORT,1801.44,1794.37,0.7870589954121118,10027.94092529783
2022-01-05 13:30:00,2022-01-05 15:30:00,LONG,1794.37,1793.65,-0.08047523605736198,10027.860450061771
2022-01-05 15:30:00,2022-01-05 16:00:00,SHORT,1793.65,1790.11,0.3958255623250978,10028.256275624097
2022-01-05 16:00:00,2022-01-05 17:00:00,LONG,1790.11,1793.01,0.32491794581685807,10028.581193569913
2022-01-05 17:00:00,2022-01-05 19:00:00,SHORT,1793.01,1787.97,0.5637899310722416,10029.144983500984
2022-01-05 19:00:00,2022-01-05 20:00:00,LONG,1787.97,1792.1100000000001,0.46444470803978904,10029.609428209023
2022-01-05 20:00:00,2022-01-05 23:30:00,SHORT,1792.1100000000001,1772.51,2.193842395755821,10031.80327060478
2022-01-05 23:30:00,2022-01-06 00:30:00,LONG,1772.51,1783.69,1.2654998907240251,10033.068770495503
2022-01-06 00:30:00,2022-01-06 02:30:00,SHORT,1783.69,1779.54,0.4668662760631864,10033.535636771567
2022-01-06 02:30:00,2022-01-06 03:00:00,LONG,1779.54,1778.45,-0.12291439185497587,10033.412722379711
2022-01-06 03:00:00,2022-01-06 03:30:00,SHORT,1778.45,1773.7,0.5359578332964506,10033.948680213009
2022-01-06 03:30:00,2022-01-06 06:30:00,LONG,1773.7,1788.06,1.6247110903518949,10035.57339130336
2022-01-06 06:30:00,2022-01-06 07:00:00,SHORT,1788.06,1787.54,0.05837050393697711,10035.631761807297
2022-01-06 07:00:00,2022-01-06 08:00:00,LONG,1787.54,1793.75,0.697285355749507,10036.329047163046
2022-01-06 08:00:00,2022-01-06 09:00:00,SHORT,1793.75,1788.85,0.5483262698937961,10036.87737343294
2022-01-06 09:00:00,2022-01-06 10:00:00,LONG,1788.85,1791.8600000000001,0.3377700857426318,10037.215143518682
2022-01-06 10:00:00,2022-01-06 12:30:00,SHORT,1791.8600000000001,1798.0,-0.6878718312948938,10036.527271687388
2022-01-06 12:30:00,2022-01-06 16:00:00,LONG,1798.0,1817.92,2.2238890239378586,10038.751160711327
2022-01-06 16:00:00,2022-01-06 16:30:00,SHORT,1817.92,1811.8,0.6759060586115396,10039.427066769938
2022-01-06 16:30:00,2022-01-06 17:00:00,LONG,1811.8,1809.73,-0.2294029586953652,10039.197663811243
2022-01-06 17:00:00,2022-01-06 20:00:00,SHORT,1809.73,1799.68,1.1150164557287832,10040.312680266972
2022-01-06 20:00:00,2022-01-06 22:30:00,LONG,1799.68,1807.01,0.8178730879529269,10041.130553354926
2022-01-06 22:30:00,2022-01-06 23:30:00,SHORT,1807.01,1806.71,0.03334059209418897,10041.16389394702
2022-01-06 23:30:00,2022-01-07 03:30:00,LONG,1806.71,1832.75,2.894453540395304,10044.058347487415
2022-01-07 03:30:00,2022-01-07 07:00:00,SHORT,1832.75,1817.6699999999998,1.6528648193164563,10045.71121230673
2022-01-07 07:00:00,2022-01-07 08:00:00,LONG,1817.6699999999998,1826.5900000000001,0.9859627326608137,10046.697175039391
2022-01-07 08:00:00,2022-01-07 08:30:00,SHORT,1826.5900000000001,1825.6499999999999,0.10340465396766498,10046.80057969336
2022-01-07 08:30:00,2022-01-07 13:30:00,LONG,1825.6499999999999,1847.22,2.3740529510474344,10049.174632644406
2022-01-07 13:30:00,2022-01-07 14:00:00,SHORT,1847.22,1844.96,0.24589528772724706,10049.420527932134
2022-01-07 14:00:00,2022-01-07 14:30:00,LONG,1844.96,1849.99,0.5479640236698721,10049.968491955804
2022-01-07 14:30:00,2022-01-07 15:30:00,SHORT,1849.99,1845.03,0.5388985207498543,10050.507390476554
2022-01-07 15:30:00,2022-01-07 16:00:00,LONG,1845.03,1844.49,-0.05883128177706567,10050.448559194778
2022-01-07 16:00:00,2022-01-07 17:00:00,SHORT,1844.49,1838.59,0.6429706477047867,10051.091529842482
2022-01-07 17:00:00,2022-01-07 18:00:00,LONG,1838.59,1840.29,0.18586912362987595,10051.277398966113
2022-01-07 18:00:00,2022-01-07 18:30:00,SHORT,1840.29,1839.49,0.08738863895551716,10051.364787605069
2022-01-07 18:30:00,2022-01-07 22:30:00,LONG,1839.49,1842.25,0.30162454608385914,10051.666412151153
2022-01-07 22:30:00,2022-01-07 23:00:00,SHORT,1842.25,1846.95,-0.5128818796266618,10051.153530271526
2022-01-07 23:00:00,2022-01-10 03:00:00,LONG,1846.95,1865.52,2.021169182242525,10053.174699453768
2022-01-10 03:00:00,2022-01-10 04:00:00,SHORT,1865.52,1857.34,0.8816305270544671,10054.056329980822
2022-01-10 04:00:00,2022-01-10 04:30:00,LONG,1857.34,1864.1000000000001,0.7318576113223487,10054.788187592145
2022-01-10 04:30:00,2022-01-10 06:00:00,SHORT,1864.1000000000001,1868.6,-0.485451926872618,10054.302735665273
2022-01-10 06:00:00,2022-01-10 09:00:00,LONG,1868.6,1878.63,1.0793605526996115,10055.382096217973
2022-01-10 09:00:00,2022-01-10 10:30:00,SHORT,1878.63,1868.01,1.1368726983156454,10056.518968916289
2022-01-10 10:30:00,2022-01-10 11:30:00,LONG,1868.01,1873.45,0.5857298750103603,10057.1046987913
2022-01-10 11:30:00,2022-01-10 12:30:00,SHORT,1873.45,1873.99,-0.05797685059485906,10057.046721940706
2022-01-10 12:30:00,2022-01-10 13:30:00,LONG,1873.99,1873.13,-0.09230636429082334,10056.954415576414
2022-01-10 13:30:00,2022-01-10 15:30:00,SHORT,1873.13,1879.57,-0.6915354133061813,10056.262880163107
2022-01-10 15:30:00,2022-01-10 16:30:00,LONG,1879.57,1890.0900000000001,1.1257030650554967,10057.388583228163
2022-01-10 16:30:00,2022-01-10 18:00:00,SHORT,1890.0900000000001,1886.47,0.38524881536103717,10057.773832043524
2022-01-10 18:00:00,2022-01-10 18:30:00,LONG,1886.47,1888.01,0.16421116372215475,10057.938043207247
2022-01-10 18:30:00,2022-01-11 00:00:00,SHORT,1888.01,1882.83,0.5519051177039759,10058.48994832495
2022-01-11 00:00:00,2022-01-11 00:30:00,LONG,1882.83,1889.25,0.6859409024526582,10059.175889227403
2022-01-11 00:30:00,2022-01-11 03:30:00,SHORT,1889.25,1869.9099999999999,2.0594888098203987,10061.235378037223
2022-01-11 03:30:00,2022-01-11 04:00:00,LONG,1869.9099999999999,1878.99,0.9771167300306384,10062.212494767255
2022-01-11 04:00:00,2022-01-11 04:30:00,SHORT,1878.99,1871.36,0.8171909518951698,10063.02968571915
2022-01-11 04:30:00,2022-01-11 05:30:00,LONG,1871.36,1881.27,1.065798394595135,10064.095484113745
2022-01-11 05:30:00,2022-01-11 08:00:00,SHORT,1881.27,1871.74,1.019639179528762,10065.115123293273
2022-01-11 08:00:00,2022-01-11 10:00:00,LONG,1871.74,1871.48,-0.027962536805925604,10065.087160756468
2022-01-11 10:00:00,2022-01-11 16:30:00,SHORT,1871.48,1859.69,1.268166131888328,10066.355326888355
2022-01-11 16:30:00,2022-01-11 17:30:00,LONG,1859.69,1869.54,1.066345465855593,10067.42167235421
2022-01-11 17:30:00,2022-01-11 18:30:00,SHORT,1869.54,1858.23,1.2180808018477869,10068.639753156058
2022-01-11 18:30:00,2022-01-11 20:00:00,LONG,1858.23,1871.78,1.4683873218628924,10070.108140477922
2022-01-11 20:00:00,2022-01-11 21:00:00,SHORT,1871.78,1853.3999999999999,1.9776745944714154,10072.085815072393
2022-01-11 21:00:00,2022-01-12 02:00:00,LONG,1853.3999999999999,1867.65,1.5487992107994377,10073.634614283192
2022-01-12 02:00:00,2022-01-12 02:30:00,SHORT,1867.65,1859.74,0.8532910320347054,10074.487905315227
2022-01-12 02:30:00,2022-01-12 05:00:00,LONG,1859.74,1862.8700000000001,0.3391135012812303,10074.827018816508
2022-01-12 05:00:00,2022-01-12 07:30:00,SHORT,1862.8700000000001,1853.61,1.001603957272843,10075.82862277378
2022-01-12 07:30:00,2022-01-12 09:00:00,LONG,1853.61,1863.77,1.1045518615823442,10076.933174635364
2022-01-12 09:00:00,2022-01-12 11:00:00,SHORT,1863.77,1857.47,0.6812501435284648,10077.614424778892
2022-01-12 11:00:00,2022-01-12 11:30:00,LONG,1857.47,1855.01,-0.2669322410047693,10077.347492537887
2022-01-12 11:30:00,2022-01-12 13:00:00,SHORT,1855.01,1836.12,2.052399654277246,10079.399892192165
2022-01-12 13:00:00,2022-01-12 14:30:00,LONG,1836.12,1844.18,0.8849090814442476,10080.284801273609
2022-01-12 14:30:00,2022-01-12 15:00:00,SHORT,1844.18,1840.3,0.4241614704523713,10080.70896274406
2022-01-12 15:00:00,2022-01-12 17:00:00,LONG,1840.3,1861.71,2.345573861787221,10083.054536605847
2022-01-12 17:00:00,2022-01-12 18:00:00,SHORT,1861.71,1856.35,0.5805971103577745,10083.635133716205
2022-01-12 18:00:00,2022-01-12 19:00:00,LONG,1856.35,1868.95,1.368856117486741,10085.00398983369
2022-01-12 19:00:00,2022-01-12 21:00:00,SHORT,1868.95,1872.46,-0.37880482628552037,10084.625185007406
2022-01-12 21:00:00,2022-01-13 00:30:00,LONG,1872.46,1882.01,1.0286806715958714,10085.653865679002
2022-01-13 00:30:00,2022-01-13 03:00:00,SHORT,1882.01,1867.45,1.5605349629841043,10087.214400641986
2022-01-13 03:00:00,2022-01-13 03:30:00,LONG,1867.45,1866.48,-0.10479100343916037,10087.109609638546
2022-01-13 03:30:00,2022-01-13 04:00:00,SHORT,1866.48,1863.2,0.3545253045263186,10087.464134943073
2022-01-13 04:00:00,2022-01-13 05:00:00,LONG,1863.2,1866.65,0.3735696786770509,10087.83770462175
2022-01-13 05:00:00,2022-01-13 05:30:00,SHORT,1866.65,1857.93,0.9425006807307417,10088.78020530248
2022-01-13 05:30:00,2022-01-13 07:00:00,LONG,1857.93,1862.69,0.5169472884041887,10089.297152590885
2022-01-13 07:00:00,2022-01-13 10:00:00,SHORT,1862.69,1849.86,1.3898789650209387,10090.687031555906
2022-01-13 10:00:00,2022-01-13 11:00:00,LONG,1849.86,1859.23,1.0222366826211717,10091.709268238528
