time,open,high,low,close,tick_volume,spread,real_volume
2014-01-12,1253.967,1255.028,1234.216,1253.669,4,0,0
2014-01-19,1253.814,1272.425,1231.36,1269.783,6,0,0
2014-01-26,1269.189,1278.654,1237.949,1243.995,6,0,0
2014-02-02,1243.734,1274.076,1240.72,1267.011,6,0,0
2014-02-09,1266.683,1321.032,1264.936,1318.291,6,0,0
2014-02-16,1318.293,1339.823,1306.939,1323.959,6,0,0
2014-02-23,1323.031,1345.266,1318.703,1326.199,6,0,0
2014-03-02,1326.025,1354.593,1326.025,1339.152,6,0,0
2014-03-09,1339.605,1387.789,1328.011,1382.254,6,0,0
2014-03-16,1382.194,1391.931,1320.384,1333.495,6,0,0
2014-03-23,1333.981,1334.629,1285.657,1294.133,6,0,0
2014-03-30,1293.855,1306.564,1277.614,1302.55,6,0,0
2014-04-06,1304.682,1324.362,1295.548,1317.594,6,0,0
2014-04-13,1319.744,1331.036,1285.745,1294.871,6,0,0
2014-04-20,1298.182,1304.92,1268.438,1301.967,6,0,0
2014-04-27,1302.282,1306.285,1273.942,1298.981,6,0,0
2014-05-04,1300.495,1315.443,1284.985,1288.003,6,0,0
2014-05-11,1289.55,1308.914,1277.364,1292.942,6,0,0
2014-05-18,1292.812,1305.25,1283.265,1292.254,6,0,0
2014-05-25,1292.242,1293.978,1242.173,1249.322,6,0,0
2014-06-01,1249.224,1257.529,1240.333,1252.945,6,0,0
2014-06-08,1252.741,1277.777,1250.139,1276.829,6,0,0
2014-06-15,1277.203,1321.766,1258.509,1314.459,6,0,0
2014-06-22,1313.333,1325.736,1306.138,1315.854,6,0,0
2014-06-29,1315.335,1332.379,1308.316,1320.081,6,0,0
2014-07-06,1317.922,1344.889,1311.188,1338.508,6,0,0
2014-07-13,1338.594,1338.938,1292.053,1310.655,6,0,0
2014-07-20,1310.409,1318.235,1287.587,1306.889,6,0,0
2014-07-27,1307.072,1312.025,1280.247,1293.382,6,0,0
2014-08-03,1292.952,1322.545,1282.394,1309.346,6,0,0
2014-08-10,1310.128,1319.181,1292.517,1304.486,6,0,0
2014-08-17,1302.392,1303.545,1272.873,1279.83,6,0,0
2014-08-24,1277.513,1296.338,1274.321,1286.91,6,0,0
2014-08-31,1285.893,1289.779,1257.14,1268.524,6,0,0
2014-09-07,1268.397,1271.638,1227.49,1229.28,6,0,0
2014-09-14,1227.034,1241.896,1213.71,1214.915,6,0,0
2014-09-21,1214.844,1235.334,1206.69,1217.855,6,0,0
2014-09-28,1216.805,1223.188,1189.93,1190.821,6,0,0
2014-10-05,1185.645,1233.136,1182.778,1222.889,6,0,0
